frame,roi_px,total_px,roi_ratio_pct,full_base_psnr,full_adap_psnr,full_base_mse,full_adap_mse,roi_base_psnr,roi_adap_psnr,roi_base_mse,roi_adap_mse
440,50310,2073600,2.4262152777777777,58.91905670944305,43.951515216059406,8.091636118479073e-06,0.00025397472199983895,49.412250832377666,52.91641903399239,7.22298864275217e-05,3.223295425414108e-05
450,51324,2073600,2.4751157407407405,60.56289997018471,43.92687414702757,5.52459096070379e-06,0.0002546259784139693,50.62060055858823,53.36370797319346,5.451676406664774e-05,2.898807179008145e-05
460,52099,2073600,2.5124903549382718,60.54759471909139,43.92265151198231,5.6133953876269516e-06,0.00025805956101976335,49.63076969974243,53.65820760049505,6.932791438885033e-05,2.7426118322182447e-05
470,52503,2073600,2.5319733796296298,60.38840033856076,43.772730045306346,5.904384579480393e-06,0.00027085799956694245,49.91159899360898,54.44775119376364,6.589535041712224e-05,2.3186732505564578e-05
480,52682,2073600,2.540605709876543,57.84319590777052,43.42132292980649,1.0609503988234792e-05,0.0002936854143626988,49.320624873992784,55.83983803182949,7.550090958829969e-05,1.6827936633490026e-05
490,52503,2073600,2.5319733796296298,59.55295057334525,43.18668978546121,6.906002454343252e-06,0.0002991250657942146,49.51080560669979,54.98130425348991,6.973346171434969e-05,1.9787519704550505e-05
500,52099,2073600,2.5124903549382718,60.86619656521074,43.485793059169225,5.264896117296303e-06,0.0002880249812733382,50.39256450413959,55.881160785940374,5.871553366887383e-05,1.6591795429121703e-05
510,51324,2073600,2.4751157407407405,59.86067189614582,43.685206877338516,6.687776021863101e-06,0.0002772223378997296,49.69129074332894,56.52075756842279,6.953762203920633e-05,1.4430226656259038e-05
520,50310,2073600,2.4262152777777777,60.76770634914433,43.61630571135079,5.1801966947095934e-06,0.0002688353124540299,49.37641574134592,56.45259354022038,7.136336353141814e-05,1.399128268531058e-05
530,49072,2073600,2.3665123456790123,60.07352296799966,43.79365510654712,6.154687980597373e-06,0.00026133214123547077,48.45670841799519,56.1586302562163,8.930741023505107e-05,1.515986423328286e-05
540,47610,2073600,2.2960069444444446,59.62695446331108,43.794033475516954,6.736300292686792e-06,0.0002580557484179735,48.2913211337712,55.61311101904302,9.161883644992486e-05,1.69748436746886e-05
550,45963,2073600,2.216579861111111,58.456066076872176,43.85356277290193,8.834710570226889e-06,0.00025494274450466037,47.754305703350695,55.48488845739755,0.00010384088091086596,1.751096533553209e-05
560,44233,2073600,2.133150077160494,59.58887069888153,43.729797716191676,6.499975370388711e-06,0.00025050650583580136,47.97586840447424,54.752190648032,9.423493611393496e-05,1.9796103515545838e-05
570,42829,2073600,2.0654417438271606,59.70293601993557,43.753848958111064,6.31115335636423e-06,0.0002483232819940895,47.1303474018488,52.518492779896064,0.0001141215325333178,3.3002972486428916e-05
580,40970,2073600,1.9757908950617284,58.89582315711274,43.63338166235021,7.297470347111812e-06,0.0002451413020025939,46.2035232871871,51.908699392039104,0.0001356445427518338,3.646571349236183e-05
590,39073,2073600,1.884307484567901,58.56346958593008,43.53276929432597,7.826191904314328e-06,0.0002492415951564908,46.67368667639539,51.35698306317199,0.00012092853285139427,4.1133829654427245e-05
