frame,mse,psnr
0,0.0,inf
10,0.03543866058765661,51.131422117920735
20,0.034495614696650224,51.248556227694245
30,0.034833699320946106,51.20619912299244
40,0.03511641679262347,51.171093160835035
50,0.03418036683367794,51.28842791672319
60,0.033305139012146996,51.401082603611
70,0.0351713239329888,51.16430794546687
80,0.03336014477142165,51.39391584400505
90,0.03473419639281432,51.21862255527989
100,0.03364136163521532,51.35745945492231
110,0.033970608532633464,51.31516184381577
120,0.0343140880249701,51.271470500420165
130,0.033910082365905835,51.32290666398154
140,0.03383567901091908,51.33244614773407
150,0.03318495053407373,51.41678336443803
160,0.034382639804476776,51.262802934908066
170,0.03389033568314994,51.32543640519731
180,0.0328819954983808,51.45661345509236
190,0.03289561116897058,51.45481551473284
200,0.03507748324035947,51.1759108525818
210,0.03414860658320157,51.292465238471
220,0.03517262327644274,51.164147505879775
230,0.03508941948045095,51.174433277527065
240,0.03449312044745348,51.248870261184166
250,0.03359947516812158,51.362870173986195
260,0.03433710015000909,51.26855895888351
270,0.03419891675246201,51.28607161020963
280,0.03286234447819365,51.45920967246659
290,0.03339352657622484,51.38957225224813
MEAN,0.032997,51.295
MIN,0.000000,51.131
MAX,0.035439,51.459
