frame,roi_px,total_px,roi_ratio_pct,full_base_psnr,full_adap_psnr,full_base_mse,full_adap_mse,roi_base_psnr,roi_adap_psnr,roi_base_mse,roi_adap_mse
120,760166,2073600,36.659239969135804,52.818467669300055,44.04346691704554,1.926284130604472e-05,0.00014528488100040704,55.912431936274054,62.54687613793723,9.447652701055631e-06,2.0505931388470344e-06
130,770981,2073600,37.180796682098766,52.801634316955926,44.09622389158379,1.961403904715553e-05,0.0001455821329727769,52.6540370505223,59.812749315703456,2.029208917520009e-05,3.903512151737232e-06
140,783267,2073600,37.773292824074076,51.34757207508549,44.612321764904365,2.7386369765736163e-05,0.0001291396183660254,48.77209923361961,55.834291315170326,4.955434633302502e-05,9.746810974320397e-06
150,797125,2073600,38.44159915123457,52.55266966099123,47.433472207661765,3.966115036746487e-05,0.00012890953803434968,49.4377448465437,56.344426952151224,8.125643944367766e-05,1.656492895563133e-05
160,813074,2073600,39.21074459876544,53.28027848649549,48.22650887119163,4.006033850600943e-05,0.0001282601006096229,50.07155488850341,56.106226937141976,8.386620174860582e-05,2.0898723960272036e-05
170,831203,2073600,40.085021219135804,47.882313159112044,45.16424527508386,6.156179733807221e-05,0.00011511133197927848,44.76112482227286,53.447188202897074,0.00012630778655875474,1.709321622911375e-05
180,852205,2073600,41.09784915123457,49.57732781390142,46.64295892750859,5.406963100540452e-05,0.00010626501170918345,46.40908876497026,53.69144095367978,0.00011214432743145153,2.0967279851902276e-05
190,877349,2073600,42.31042631172839,54.556228443676524,51.98524113709007,5.6588472943985835e-05,0.00010228847531834617,51.540331608191394,58.617601359691335,0.00011332289432175457,2.221215436293278e-05
200,905987,2073600,43.691502700617285,49.624587344028996,45.86446493150214,4.117631760891527e-05,9.787228918867186e-05,47.01168902003067,52.48994785744341,7.515144534409046e-05,2.1286852643243037e-05
210,938963,2073600,45.28178047839506,48.07803047059572,46.1308715551333,5.873089321539737e-05,9.195651364279911e-05,45.26936723592957,51.35368120040846,0.00011213286779820919,2.7624952053884044e-05
220,976240,2073600,47.079475308641975,48.505512564088875,46.53014289473998,5.3332427341956645e-05,8.404818072449416e-05,45.920697266986004,51.38401700871662,9.671033330960199e-05,2.74878584605176e-05
230,394541,2073600,19.02686149691358,50.6179722263976,47.221921191978396,3.2658677810104564e-05,7.138446380849928e-05,55.2903182174135,60.38442674746342,1.1136891771457158e-05,3.446300524956314e-06
240,423830,2073600,20.439332561728396,51.24231211413055,46.29535025548602,2.8371025109663606e-05,8.862805407261476e-05,55.773270262139896,64.9906403750447,9.994917490985245e-06,1.196856828755699e-06
250,426433,2073600,20.564863040123456,49.693353074686684,46.15941354570988,4.539222936728038e-05,0.00010241780546493828,49.6712047074471,62.46638177980026,4.5624314225278795e-05,2.3970585516508436e-06
260,397487,2073600,19.168933256172842,45.64511287197293,42.83222265216011,7.618970994371921e-05,0.00014560803538188338,44.34276266203678,59.629617453973324,0.00010283272422384471,3.044008508368279e-06
270,367910,2073600,17.742573302469136,47.334817778512104,42.048800246014736,5.229845555732027e-05,0.00017664063489064574,49.366667909007376,65.197900810884,3.275697963545099e-05,8.554222858947469e-07
280,340092,2073600,16.401041666666664,58.79424252977343,54.32345843465924,7.225298031698912e-05,0.00020227125787641853,63.963629267303055,78.60671995594906,2.1974403352942318e-05,7.544110189883213e-07
290,311676,2073600,15.030671296296298,50.3573441173716,45.37335384585962,5.613320172415115e-05,0.0001768556103343144,54.2578857184996,72.88469121643082,2.2864707716507837e-05,3.1367875408250256e-07
300,285670,2073600,13.776523919753087,47.508344327312855,43.378493885084154,6.020728324074298e-05,0.00015582390187773854,52.67725444273072,72.01206690062196,1.831293775467202e-05,2.1344047240745567e-07
310,264694,2073600,12.764949845679013,47.02669899756497,45.47756274176821,5.452624100144021e-05,7.789672235958278e-05,52.496207177998315,73.26787108451039,1.5475858162972145e-05,1.2956519412909984e-07
320,247919,2073600,11.955970293209877,47.93660558510058,43.21235108523372,4.542566239251755e-05,0.00013481143105309457,52.46565836558011,75.18340140347937,1.6010171748348512e-05,8.5629160651024e-08
330,240653,2073600,11.605565200617283,48.03701652110561,48.13497620313527,4.4439046178013086e-05,4.3447897041914985e-05,51.573039223156194,72.02866450096336,1.9686225641635247e-05,1.7725558620895754e-07
340,236769,2073600,11.418258101851853,48.474864353013814,48.52565577817315,4.003735739388503e-05,3.9571841625729576e-05,51.43881422177895,77.90726840197743,2.0233472241670825e-05,4.5627324141150893e-08
350,234432,2073600,11.305555555555555,48.98579181868335,49.42302324272631,3.559366086847149e-05,3.218470374122262e-05,51.817435571085035,72.54783966460312,1.8544207705417648e-05,1.5673568043439445e-07
360,233642,2073600,11.267457561728394,50.028653822592474,49.86925839967548,2.7930280339205638e-05,2.8974425731576048e-05,52.551361521441365,74.31606150371498,1.5624442312400788e-05,1.0407215000896031e-07
370,234432,2073600,11.305555555555555,50.59022432735646,50.664375482863974,3.643351010396145e-05,3.5816727177007124e-05,53.28780960949099,67.69587644616676,1.9576835256884806e-05,7.094728857737209e-07
380,236769,2073600,11.418258101851853,50.53172166235456,50.60576523936661,3.152765202685259e-05,3.099468813161366e-05,52.46007541904874,72.50553689401119,2.022349690378178e-05,2.0012903689803352e-07
390,240653,2073600,11.605565200617283,52.80915493142971,52.531540529995304,3.268027285230346e-05,3.483751061139628e-05,54.91113934480313,70.67311769328217,2.0141287677688524e-05,5.344282385522092e-07
400,247919,2073600,11.955970293209877,58.5822845956259,58.36483274548411,4.062731022713706e-05,4.271331272320822e-05,62.50051494133863,80.85395726927935,1.6481435523019172e-05,2.4079685090327985e-07
410,264694,2073600,12.764949845679013,49.412430267893235,48.77385694642177,3.248891880502924e-05,3.76350581063889e-05,52.12439078328251,66.5018532201823,1.7399597709299996e-05,6.350281296363391e-07
420,285670,2073600,13.776523919753087,43.47333979497594,49.614974194892355,0.00012694858014583588,3.086486685788259e-05,35.78538678842114,69.82559559503427,0.0007454579463228583,2.940371928161767e-07
430,311676,2073600,15.030671296296298,49.00276885790902,43.75604239889417,3.2035190088208765e-05,0.00010722596198320389,51.223334099002464,66.34213336804581,1.9211920516681857e-05,5.911406901759619e-07
440,340092,2073600,16.401041666666664,48.661721828860166,45.07453994733864,3.406104224268347e-05,7.779937732266262e-05,50.867452072903525,63.880815720621634,2.0496745491982438e-05,1.0241145673717256e-06
450,367910,2073600,17.742573302469136,47.251931993487574,43.654140225196684,4.718162745120935e-05,0.00010803191980812699,50.12901906661874,63.260778360495706,2.4325636331923306e-05,1.1827372645711876e-06
460,397487,2073600,19.168933256172842,46.94280737836096,43.56032540919928,5.1226485084043816e-05,0.0001116201892727986,44.334479494008406,57.93263853783911,9.339579992229119e-05,4.078603069501696e-06
470,426433,2073600,20.564863040123456,48.42535893808063,44.16330016386786,4.308059214963578e-05,0.00011494432692416012,48.79716901947765,63.038601450184835,3.954582643928006e-05,1.489215037508984e-06
480,423830,2073600,20.439332561728396,44.99560046646155,41.99939403342145,8.119471021927893e-05,0.00016186329594347626,51.438857019188184,60.80318839099678,1.8416287275613286e-05,2.1319103780115256e-06
490,404244,2073600,19.494791666666668,48.50911092671802,43.518154869871665,3.6243931390345097e-05,0.0001143749468610622,48.94841287525874,65.97309796631933,3.2757074222899973e-05,6.49885123493732e-07
500,373255,2073600,18.000337577160494,49.67525902118765,44.64309150923512,3.717878644238226e-05,0.00011844369873870164,53.982280130295464,66.48340114772309,1.3790915545541793e-05,7.753200179649866e-07
510,333165,2073600,16.066984953703702,48.222567014997836,43.32207736903972,3.947411823901348e-05,0.000122000441479031,53.30896560899011,66.3544759679864,1.2236932889209129e-05,6.069061555535882e-07
520,286721,2073600,13.827208719135802,47.81600888009181,42.93777697769742,4.371471732156351e-05,0.00013441596820484847,53.213423779010654,64.56049816843678,1.2614968909474555e-05,9.250788366443885e-07
530,235247,2073600,11.344859182098766,47.070330591871546,41.71448572677585,4.1957599023589864e-05,0.00014401081716641784,50.336488325731295,62.38186839812898,1.9778568457695656e-05,1.2349712505965726e-06
540,180817,2073600,8.719955632716049,56.094849530446794,54.90422187427022,6.308339652605355e-05,8.298084139823914e-05,58.97778427272539,72.10519716419583,3.248041684855707e-05,1.5808122952876147e-06
550,135230,2073600,6.52150848765432,52.29129458528747,51.47949959866687,3.4440545277902856e-05,4.151925168116577e-05,53.010006257480946,65.3121324357088,2.918763129855506e-05,1.71785393376922e-06
560,92044,2073600,4.4388503086419755,47.852303733611095,47.99055655308065,2.5301364075858146e-05,2.4508608476025984e-05,46.05908907912004,60.16270557485279,3.8235379179241136e-05,1.486290670982271e-06
570,55842,2073600,2.692997685185185,47.88461198086737,48.331580882968964,2.4916791517171077e-05,2.2479944163933396e-05,43.38231313302618,56.34372707419948,7.026224193396047e-05,3.5528805710782763e-06
580,40721,2073600,1.9637827932098766,48.23141662943527,49.20809522983578,2.314992161700502e-05,1.8487648048903793e-05,42.026883807341676,54.551692065937104,9.660571231506765e-05,5.4015945352148265e-06
590,38674,2073600,1.8650655864197532,48.84948697510052,49.982003642859276,2.0015877453261055e-05,1.542137033538893e-05,42.59388942596421,55.965769303819,8.451511530438438e-05,3.888180344802095e-06
